Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
gothic-stack-tee-washed-black,Gothic Stack Tee,"<p>The flagship. Washed black, cut boxy and heavy. The LC monogram and compass star sit small on the chest.</p><p>On the back: International Street Sports over three stacked gothic LANE CHANGE wordmarks, International Street Sports — Designed To Win, the compass star and Est. 2025, AUS — Worldwide.</p><h6>Fit</h6><ul><li>Oversized, boxy fit — take your usual size for the intended drape.</li><li>Dropped shoulders, wide short sleeves, cropped straight hem.</li><li>Model is 183cm and wears size L.</li></ul><h6>Fabric</h6><ul><li>100% cotton heavyweight jersey.</li><li>Garment dyed and mineral washed for a lived-in, uneven finish.</li><li>Ribbed crew neck. Woven LC neck label.</li><li>Screen-printed chest emblem and oversized back graphic.</li></ul><h6>Care</h6><ul><li>Cold wash inside out with similar colours.</li><li>Each piece is washed individually — tone and pattern will vary.</li><li>Hang dry. Do not tumble dry. Do not iron the print.</li></ul>",Lane Change,T-Shirt,"tees, core-washed, tees, family:core-washed-tee, swatch:#2b2c2c, badge:Flagship",TRUE,Size,XS,Color,Washed Black,LC-GOTSTABLA-XS,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/gothic-stack-tee-washed-black-front.jpg,1,Gothic Stack Tee — Washed Black — Front,FALSE,Gothic Stack Tee — Washed Black | Lane Change,"LC emblem front. Layered triple LANE CHANGE gothic stack across the back. International Street Sports. Australian born, global minded.",,g,active
gothic-stack-tee-washed-black,,,,,,,,S,,Washed Black,LC-GOTSTABLA-S,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/gothic-stack-tee-washed-black-back.jpg,2,Gothic Stack Tee — Washed Black — Back,,,,,g,
gothic-stack-tee-washed-black,,,,,,,,M,,Washed Black,LC-GOTSTABLA-M,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/gothic-stack-tee-washed-black-side.jpg,3,Gothic Stack Tee — Washed Black — Side,,,,,g,
gothic-stack-tee-washed-black,,,,,,,,L,,Washed Black,LC-GOTSTABLA-L,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/gothic-stack-tee-washed-black-fit.jpg,4,Gothic Stack Tee — Washed Black — Fit,,,,,g,
gothic-stack-tee-washed-black,,,,,,,,XL,,Washed Black,LC-GOTSTABLA-XL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/gothic-stack-tee-washed-black-detail.jpg,5,Gothic Stack Tee — Washed Black — Detail,,,,,g,
gothic-stack-tee-washed-black,,,,,,,,XXL,,Washed Black,LC-GOTSTABLA-XXL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/gothic-stack-tee-washed-black-print.jpg,6,Gothic Stack Tee — Washed Black — Print,,,,,g,
gothic-stack-tee-washed-black,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/gothic-stack-tee-washed-black-fabric.jpg,7,Gothic Stack Tee — Washed Black — Fabric,,,,,,
gothic-stack-tee-washed-black,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/gothic-stack-tee-washed-black-label.jpg,8,Gothic Stack Tee — Washed Black — Label,,,,,,
compass-tee-concrete-grey,Compass Tee,"<p>Concrete grey with washed black ink. Arched Lane Change wordmark and compass emblem on the chest with International Street Sports, Est. 2025.</p><p>Across the back: dripping gothic LANE CHANGE over a winged statue, framed by Same Roads, Different Lanes and More Than Cars, A Mindset. International Street Sports — Designed To Win.</p><h6>Fit</h6><ul><li>Oversized, boxy fit — take your usual size for the intended drape.</li><li>Dropped shoulders, wide short sleeves, cropped straight hem.</li><li>Model is 183cm and wears size L.</li></ul><h6>Fabric</h6><ul><li>100% cotton heavyweight jersey.</li><li>Garment dyed and mineral washed for a lived-in, uneven finish.</li><li>Ribbed crew neck. Woven LC neck label.</li><li>Screen-printed chest emblem and oversized back graphic.</li></ul><h6>Care</h6><ul><li>Cold wash inside out with similar colours.</li><li>Each piece is washed individually — tone and pattern will vary.</li><li>Hang dry. Do not tumble dry. Do not iron the print.</li></ul>",Lane Change,T-Shirt,"tees, core-washed, tees, family:core-washed-tee, swatch:#8d8c8a",TRUE,Size,XS,Color,Concrete Grey,LC-COMCONGRE-XS,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/compass-tee-concrete-grey-front.jpg,1,Compass Tee — Concrete Grey — Front,FALSE,Compass Tee — Concrete Grey | Lane Change,"Arched Lane Change and compass emblem front. Dripping LANE CHANGE and angel statue back. International Street Sports. Australian born, global minded.",,g,active
compass-tee-concrete-grey,,,,,,,,S,,Concrete Grey,LC-COMCONGRE-S,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/compass-tee-concrete-grey-back.jpg,2,Compass Tee — Concrete Grey — Back,,,,,g,
